Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:56:929,63.11076,1,RTdata,3.405 -0.083 -3.632,7.956 340.596 1.094,-0.354 -0.073 0.932,1,1,fakeWallSouth,1.925 1.499 -4.818,-0.932 -0.138 -0.334,-0.931 -0.073 -0.358,0.758 1.403 -5.268,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.255,97.470,174.449 163.408,247.165 179.216,7.636,
15:04:56:963,63.14467,1,RTdata,3.404 -0.083 -3.632,7.922 340.552 1.123,-0.352 -0.072 0.933,1,1,fakeWallSouth,1.925 1.499 -4.818,-0.932 -0.138 -0.334,-0.932 -0.072 -0.356,0.754 1.404 -5.266,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.988 162.518,246.959 178.602,NaN,
15:04:56:996,63.17801,1,RTdata,3.404 -0.083 -3.632,7.890 340.498 1.160,-0.350 -0.071 0.934,1,1,fakeWallSouth,1.925 1.500 -4.818,-0.932 -0.137 -0.335,-0.932 -0.071 -0.355,0.629 1.396 -5.312,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.926 162.990,247.058 177.971,NaN,
15:04:57:030,63.21107,1,RTdata,3.404 -0.082 -3.632,7.862 340.431 1.185,-0.351 -0.075 0.933,1,1,fakeWallSouth,1.925 1.500 -4.819,-0.932 -0.137 -0.336,-0.932 -0.075 -0.356,0.729 1.399 -5.275,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.276 163.004,245.448 177.337,NaN,
15:04:57:063,63.24484,1,RTdata,3.403 -0.082 -3.632,7.849 340.331 1.215,-0.353 -0.073 0.933,1,1,fakeWallSouth,1.925 1.500 -4.819,-0.931 -0.137 -0.338,-0.931 -0.073 -0.357,0.711 1.400 -5.283,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.892 162.711,246.007 177.030,NaN,
15:04:57:096,63.27804,1,RTdata,3.403 -0.082 -3.632,7.835 340.199 1.259,-0.353 -0.077 0.932,1,1,fakeWallSouth,1.925 1.500 -4.819,-0.930 -0.136 -0.340,-0.931 -0.077 -0.358,0.744 1.398 -5.272,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.784 163.143,245.781 176.938,NaN,
15:04:57:130,63.31134,1,RTdata,3.403 -0.082 -3.632,7.786 340.056 1.297,-0.352 -0.075 0.933,1,1,fakeWallSouth,1.925 1.501 -4.820,-0.930 -0.135 -0.343,-0.931 -0.075 -0.357,0.782 1.404 -5.256,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,175.854 163.430,245.168 176.128,NaN,
15:04:57:163,63.34431,1,RTdata,3.402 -0.081 -3.632,7.741 339.911 1.314,-0.292 -0.119 0.949,1,1,fakeWallSouth,1.925 1.501 -4.820,-0.929 -0.135 -0.345,-0.948 -0.119 -0.297,-1.136 1.112 -5.772,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.059,325.150,177.477 172.126,237.113 171.013,106.633,
15:04:57:196,63.3782,1,RTdata,3.402 -0.081 -3.632,7.716 339.768 1.310,-0.299 -0.128 0.946,1,1,fakeWallSouth,1.924 1.501 -4.820,-0.928 -0.134 -0.347,-0.944 -0.128 -0.304,-4.681 0.600 -6.932,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.173,192.290,179.027 174.347,234.280 169.514,5.200,
15:04:57:230,63.4114,1,RTdata,3.402 -0.081 -3.631,7.688 339.603 1.279,-0.301 -0.127 0.945,1,1,fakeWallSouth,1.924 1.501 -4.820,-0.927 -0.134 -0.350,-0.944 -0.127 -0.306,-2.169 0.947 -6.138,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.387,5.804,178.729 174.459,234.162 168.579,6.898,
