Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,Message
14:11:08:718,2277.736,12,RTdata,-4.894 -0.045 -3.745,0.735 243.551 1.016,-0.712 -0.147 -0.687,0.0,1.0,fakeGround,0.838 1.399 -3.389,0.773 -0.013 0.634,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:751,2277.77,12,RTdata,-4.885 -0.046 -3.741,1.264 247.258 1.174,-0.712 -0.147 -0.687,0.0,0.0,fakeGround,0.830 1.398 -3.394,0.812 -0.022 0.583,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:785,2277.803,12,RTdata,-4.874 -0.048 -3.736,1.909 251.773 1.518,-0.712 -0.147 -0.687,0.0,0.0,fakeGround,0.821 1.396 -3.401,0.855 -0.033 0.517,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:818,2277.837,12,RTdata,-4.862 -0.050 -3.730,2.652 256.752 1.990,-0.712 -0.147 -0.687,0.0,0.0,fakeGround,0.810 1.394 -3.410,0.897 -0.046 0.441,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:851,2277.869,12,RTdata,-4.849 -0.052 -3.725,3.239 260.886 2.768,-0.712 -0.147 -0.687,0.0,0.0,fakeGround,0.799 1.392 -3.418,0.925 -0.057 0.375,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:884,2277.903,12,RTdata,-4.835 -0.053 -3.721,3.777 264.885 3.618,-0.712 -0.147 -0.687,0.0,0.0,fakeGround,0.786 1.391 -3.425,0.949 -0.066 0.309,0.540 -0.147 0.829,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:918,2277.937,12,RTdata,-4.821 -0.054 -3.716,4.203 268.284 4.348,-0.942 -0.232 -0.244,0.0,0.0,fakeGround,0.773 1.390 -3.433,0.965 -0.073 0.252,0.863 -0.232 0.448,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:950,2277.969,12,RTdata,-4.807 -0.056 -3.713,4.595 270.889 4.723,-0.908 -0.198 0.370,1.0,1.0,MController,0.760 1.388 -3.439,0.975 -0.080 0.208,0.967 -0.198 -0.158,1.090 1.332 -3.466,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:985,2278.003,12,RTdata,-4.791 -0.057 -3.711,5.070 273.239 4.624,-0.920 -0.176 0.351,1.0,1.0,fakeWallEast,0.745 1.387 -3.445,0.982 -0.088 0.168,0.975 -0.176 -0.137,1.062 1.338 -3.476,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:017,2278.037,12,RTdata,-4.775 -0.058 -3.710,5.579 275.248 4.554,-0.918 -0.174 0.357,1.0,1.0,fakeWallEast,0.730 1.386 -3.449,0.986 -0.097 0.133,0.974 -0.174 -0.143,1.044 1.338 -3.484,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:052,2278.071,12,RTdata,-4.760 -0.058 -3.710,6.072 276.993 4.746,-0.918 -0.173 0.357,1.0,1.0,fakeWallEast,0.715 1.385 -3.453,0.989 -0.106 0.103,0.974 -0.173 -0.143,1.027 1.338 -3.488,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:085,2278.104,12,RTdata,-4.745 -0.059 -3.710,6.504 278.573 5.089,-0.907 -0.195 0.374,1.0,1.0,MController,0.700 1.385 -3.456,0.991 -0.113 0.075,0.967 -0.195 -0.162,1.009 1.331 -3.498,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:117,2278.137,12,RTdata,-4.730 -0.058 -3.710,6.874 280.089 5.441,-0.852 -0.211 0.479,1.0,1.0,MController,0.686 1.386 -3.459,0.992 -0.120 0.049,0.938 -0.211 -0.276,0.994 1.323 -3.539,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:152,2278.17,12,RTdata,-4.715 -0.058 -3.711,7.213 281.524 5.747,-0.842 -0.212 0.496,1.0,1.0,MController,0.672 1.386 -3.462,0.992 -0.126 0.024,0.932 -0.212 -0.295,0.978 1.323 -3.548,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:185,2278.204,12,RTdata,-4.702 -0.057 -3.711,7.349 282.761 5.910,-0.850 -0.188 0.492,1.0,1.0,MController,0.659 1.387 -3.464,0.992 -0.128 0.003,0.938 -0.188 -0.289,0.963 1.331 -3.549,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:219,2278.238,12,RTdata,-4.689 -0.055 -3.713,7.351 283.841 5.924,-0.842 -0.208 0.498,1.0,1.0,MController,0.646 1.389 -3.466,0.992 -0.128 -0.016,0.932 -0.208 -0.297,0.947 1.327 -3.553,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:251,2278.27,12,RTdata,-4.677 -0.054 -3.714,7.312 284.740 5.885,-0.839 -0.214 0.501,1.0,1.0,MController,0.633 1.390 -3.467,0.991 -0.127 -0.031,0.929 -0.214 -0.301,0.933 1.327 -3.556,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:286,2278.304,12,RTdata,-4.665 -0.052 -3.716,7.179 285.486 5.890,-0.840 -0.211 0.500,1.0,1.0,MController,0.621 1.392 -3.468,0.991 -0.125 -0.044,0.931 -0.211 -0.299,1.078 1.293 -3.607,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:318,2278.338,12,RTdata,-4.654 -0.051 -3.718,6.979 286.073 5.855,-0.840 -0.214 0.499,1.0,1.0,MController,0.610 1.393 -3.469,0.991 -0.122 -0.055,0.930 -0.214 -0.299,1.065 1.293 -3.608,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:353,2278.372,12,RTdata,-4.644 -0.051 -3.719,6.760 286.592 5.777,-0.837 -0.216 0.503,1.0,1.0,MController,0.600 1.393 -3.469,0.991 -0.118 -0.064,0.928 -0.216 -0.303,1.053 1.292 -3.610,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:386,2278.405,12,RTdata,-4.635 -0.050 -3.722,6.483 287.034 5.694,-0.839 -0.211 0.501,1.0,1.0,MController,0.591 1.394 -3.469,0.991 -0.113 -0.071,0.930 -0.211 -0.300,1.043 1.296 -3.609,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:419,2278.438,12,RTdata,-4.627 -0.049 -3.724,6.126 287.458 5.535,-0.840 -0.211 0.501,1.0,1.0,MController,0.583 1.395 -3.469,0.991 -0.107 -0.079,0.930 -0.211 -0.300,1.034 1.296 -3.609,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:453,2278.471,12,RTdata,-4.620 -0.049 -3.726,5.746 287.855 5.328,-0.857 -0.180 0.484,1.0,1.0,MController,0.576 1.395 -3.468,0.991 -0.100 -0.086,0.943 -0.180 -0.280,1.028 1.312 -3.598,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:487,2278.505,12,RTdata,-4.614 -0.048 -3.728,5.325 288.222 5.144,-0.857 -0.180 0.483,1.0,1.0,MController,0.569 1.396 -3.467,0.991 -0.093 -0.092,0.943 -0.180 -0.279,1.021 1.313 -3.597,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:519,2278.538,12,RTdata,-4.610 -0.048 -3.731,4.878 288.515 5.042,-0.858 -0.179 0.482,1.0,1.0,MController,0.564 1.396 -3.466,0.992 -0.085 -0.097,0.944 -0.179 -0.278,1.015 1.313 -3.596,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:552,2278.571,12,RTdata,-4.606 -0.048 -3.733,4.502 288.796 4.958,-0.849 -0.183 0.496,1.0,1.0,MController,0.560 1.396 -3.465,0.992 -0.078 -0.102,0.938 -0.183 -0.293,1.010 1.312 -3.602,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:585,2278.604,12,RTdata,-4.604 -0.048 -3.735,4.314 289.061 4.906,-0.849 -0.186 0.494,1.0,1.0,MController,0.558 1.396 -3.463,0.991 -0.075 -0.107,0.938 -0.186 -0.291,1.006 1.311 -3.600,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:619,2278.638,12,RTdata,-4.603 -0.048 -3.738,4.259 289.236 4.959,-0.849 -0.186 0.495,0.0,0.0,MController,0.556 1.396 -3.460,0.991 -0.074 -0.110,0.938 -0.186 -0.293,1.006 1.311 -3.600,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:652,2278.671,12,RTdata,-4.603 -0.049 -3.741,4.298 289.254 5.139,-0.849 -0.186 0.495,0.0,0.0,MController,0.556 1.395 -3.458,0.991 -0.075 -0.110,0.938 -0.186 -0.293,1.006 1.311 -3.600,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:687,2278.705,12,RTdata,-4.604 -0.049 -3.743,4.388 289.125 5.371,-0.849 -0.186 0.495,0.0,0.0,MController,0.556 1.395 -3.455,0.991 -0.077 -0.108,0.938 -0.186 -0.293,1.006 1.311 -3.600,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:09:718,2278.738,12,RTdata,-4.607 -0.049 -3.746,4.432 288.876 5.615,-0.849 -0.186 0.495,0.0,0.0,MController,0.558 1.394 -3.451,0.992 -0.077 -0.103,0.938 -0.186 -0.293,1.006 1.311 -3.600,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
