Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:19:598,301.178,1,RTdata,-0.089 0.332 -5.459,11.443 263.149 358.141,-0.984 -0.106 0.140,1,1,fakeWallEast,-3.030 1.741 -2.747,0.946 -0.198 0.255,0.994 -0.106 0.002,-0.971 1.528 -2.727,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.651 141.323,266.352 96.871,NaN,
15:04:19:632,301.2114,1,RTdata,-0.089 0.332 -5.458,11.533 263.625 358.131,-0.983 -0.113 0.145,1,1,fakeWallEast,-3.030 1.741 -2.748,0.948 -0.200 0.247,0.994 -0.113 -0.003,-1.058 1.524 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.471 141.036,267.878 98.303,NaN,
15:04:19:666,301.2451,1,RTdata,-0.089 0.331 -5.457,11.765 264.097 358.111,-0.983 -0.112 0.145,1,1,fakeWallEast,-3.029 1.740 -2.749,0.949 -0.204 0.239,0.994 -0.112 -0.003,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.784,155.805,113.814 141.192,269.034 99.826,11.179,
15:04:19:698,301.2783,1,RTdata,-0.090 0.330 -5.456,12.188 264.553 358.074,-0.984 -0.110 0.140,0,1,fakeWallEast,-3.029 1.739 -2.750,0.950 -0.211 0.231,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,115.799 142.087,272.402 100.987,NaN,
15:04:19:732,301.3116,1,RTdata,-0.090 0.329 -5.455,12.721 265.036 358.057,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.028 1.738 -2.751,0.950 -0.220 0.223,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
15:04:19:765,301.345,1,RTdata,-0.091 0.327 -5.454,13.292 265.553 358.080,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.027 1.737 -2.752,0.950 -0.230 0.213,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
15:04:19:798,301.3782,1,RTdata,-0.092 0.326 -5.453,13.903 266.119 358.110,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.026 1.735 -2.752,0.949 -0.240 0.204,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
15:04:19:832,301.4117,1,RTdata,-0.094 0.324 -5.452,14.790 266.715 358.134,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.024 1.733 -2.753,0.947 -0.255 0.193,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,232.482 125.851,NaN,
15:04:19:865,301.4452,1,RTdata,-0.096 0.321 -5.451,16.235 267.325 358.095,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.022 1.730 -2.753,0.943 -0.280 0.181,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
15:04:19:899,301.4785,1,RTdata,-0.100 0.316 -5.451,18.410 267.950 357.954,-0.984 -0.110 0.140,0,0,fakeWallEast,-3.018 1.725 -2.754,0.934 -0.316 0.169,0.994 -0.110 0.002,-0.835 1.508 -2.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
